ID,CURRENCY,AMOUNT,LOCATION
52917209,$,220000,Belgrano
52917240,USD,800,Congreso
52917396,$,200000,La Paternal
52917478,USD,600,Belgrano
52917505,$,450000,Saavedra
52917551,$,390000,Villa Urquiza
52917600,USD,700,Recoleta
52917619,$,450000,Caballito
52917620,USD,600,Palermo
52917634,$,400000,Barrio Norte
52891421,$,450000,Colegiales
52891759,$,300000,Caballito
52891774,$,300000,Caballito
52891916,USD,500,Palermo
52891974,$,382000,Núñez
52892016,$,350000,Flores
52892065,USD,2000,Parque Chas
52892122,$,280000,Liniers
52892202,$,650000,Belgrano
52892279,USD,1100,Puerto Madero
53119730,$,380000,Recoleta
52814100,$,680000,Villa Urquiza
52990183,USD,1500,Palermo
46959276,$,450000,Belgrano
52916933,$,550000,Caballito
53021456,$,480000,Núñez
53118611,$,400000,Colegiales
52876683,USD,2000,Parque Chacabuco
53087574,$,280000,Caballito
53023136,USD,650,Retiro
52992102,USD,800,Belgrano
52992127,USD,800,Belgrano
53114628,$,550000,Boedo
53030116,$,280000,Núñez
52760879,$,500000,Villa Devoto
53024690,$,300000,Belgrano
52785074,$,350000,Villa Urquiza
53073804,USD,600,San Telmo
52865514,USD,2000,Recoleta
53061736,USD,550,Parque Patricios
48543090,$,235000,Congreso
47740820,USD,400000,Balvanera
47672690,USD,500,Núñez
47908664,USD,380,Palermo
47908123,USD,550,Colegiales
47912789,USD,3800,Palermo
48071450,USD,2100,Palermo
47996810,USD,6500,Belgrano
48002059,USD,1800,Recoleta
47853945,USD,350,Núñez
47896184,$,385000,Flores
47989160,$,300000,Flores
48118963,$,450000,Palermo
49641578,$,850000,Núñez
49705532,USD,5800,Puerto Madero
49540199,USD,2500,Recoleta
49559874,USD,2300,Recoleta
49509155,USD,1800,Barrio Norte
49695583,USD,2100,Palermo
49620542,USD,700,Palermo
52978680,$,1300000,Belgrano
52615211,$,320000,Caballito
52960682,USD,600,La Paternal
53052391,USD,850,Palermo
52902574,USD,2000,Belgrano
52979891,USD,2900,Palermo
52938839,USD,600,Caballito
52896272,USD,5000,Recoleta
53021417,USD,750,Palermo
53092492,USD,3800,Palermo
53068328,USD,600,Palermo
52988053,$,420000,Floresta
53021874,$,250000,San Telmo
52882627,USD,850,Palermo
52931567,$,900000,Caballito
52938129,USD,550,Retiro
52983568,USD,2200,Retiro
52967141,USD,1250,Caballito
53096930,$,450000,Recoleta
53094010,USD,500,Recoleta
52911203,USD,400,Belgrano
52911287,$,350000,Palermo
52911355,$,350000,Belgrano
52911365,$,790000,Colegiales
52911406,$,200000,Villa del Parque
52911434,$,210000,San Cristobal
52911459,USD,450,Belgrano
52911539,$,250000,Caballito
52911570,$,480000,Barrio Norte
52911747,USD,1400,Belgrano
52911991,$,1000000,Caballito
52912008,$,220000,Barracas
52912017,$,600000,Caballito
52912068,USD,900,Belgrano
52912461,USD,1000,Belgrano
52912523,USD,670,Puerto Madero
52912659,$,450000,Belgrano
52913043,USD,800,Villa Crespo
52898778,USD,1400,Puerto Madero
52913100,USD,800,Villa Crespo
52868014,$,550000,Villa Devoto
53070161,$,330000,Almagro
52984717,USD,990,Caballito
52830758,$,1000000,Belgrano
52896813,USD,0,Recoleta
52471435,USD,400,Monserrat
52899194,$,750000,Palermo
53118677,USD,1800,Palermo
53078059,$,250000,Parque Avellaneda
53053602,USD,300,Colegiales
53119333,USD,520,Almagro
53059193,$,370000,Belgrano
53026823,USD,1900,Puerto Madero
52931499,USD,900,Puerto Madero
52898302,USD,700,Puerto Madero
53070108,USD,2000,Palermo
52890875,$,1700000,Recoleta
53102794,$,350000,Barrio Norte
53078745,USD,3700,Puerto Madero
53087128,$,1000000,Almagro
45992399,$,300000,Floresta
46227928,USD,450,Belgrano
49877864,$,500000,Almagro
49838119,USD,1700,Palermo
49855731,USD,6000,Saavedra
49869614,$,300000,San Telmo
49907037,$,350000,Recoleta
48753567,$,250000,Villa Luro
48753615,USD,5000,Retiro
48758236,USD,1950,Recoleta
48759550,$,200000,Barrio Norte
48638892,$,600000,Palermo
48639986,$,250000,Flores
48661327,USD,5000,Núñez
48668248,USD,6000,Puerto Madero
48519879,USD,690,Palermo
48622595,$,220000,Barracas
48675306,$,300000,Mataderos
48679763,$,380000,Colegiales
48682166,USD,500,Recoleta
49541188,$,860000,Villa Urquiza
48778544,USD,3100,Puerto Madero
49378611,$,330000,Belgrano
50178891,$,350000,Floresta
50180663,USD,1600,Recoleta
50184518,USD,2000,Barrio Norte
50186177,USD,2500,Recoleta
50187253,USD,650,San Telmo
50215453,$,190000,San Telmo
48851940,USD,1500,Palermo
48868860,$,295000,Villa Devoto
48877762,USD,420,Recoleta
48878111,$,350000,Agronomía
48884086,$,280000,Caballito
49063611,USD,700,Recoleta
49021374,USD,300,Parque Centenario
48924776,USD,2500,Palermo
48925461,$,240000,Monserrat
48957648,$,600000,Caballito
48961361,USD,700,Palermo
53112636,$,220000,Villa Crespo
52951713,USD,475,Centro / Microcentro
52973643,USD,2000,Colegiales
52983599,USD,740,Belgrano
52999303,$,350000,Núñez
52872829,USD,350,Palermo
53107787,USD,2500,Puerto Madero
53096019,USD,700,Recoleta
52947595,$,9000000,Palermo
53060829,USD,1000,Villa Crespo
53066200,USD,1800,Belgrano
53093444,$,850000,Palermo
52991176,USD,1100,Caballito
49475448,USD,5000,Recoleta
47485299,$,420000,Villa Urquiza
52871122,USD,550,San Telmo
52991897,USD,1500,Palermo
52910336,USD,850,Palermo
52991912,$,650000,Belgrano
52815312,$,230000,Centro / Microcentro
42403501,$,300000,Liniers
42449128,$,350000,Villa Urquiza
42502153,$,350000,Flores
42731483,USD,2600,Recoleta
