ID,CURRENCY,AMOUNT,LOCATION
53441777,$, 240.000,Flores
53441831,USD, 500,Recoleta
53451650,$, 300.000,Liniers
53451674,$, 400.000,Colegiales
53451737,$, 255.000,Recoleta
53451762,$, 450.000,Caballito
53451863,USD, 700,Belgrano
53451946,$, 250.000,Balvanera
53452028,$, 1.000.000,Recoleta
53452176,$, 330.000,Belgrano
53452545,USD, 2.700,PUERTO MADERO
53452546,USD, 8.000,PUERTO MADERO
53452563,$, 320.000,Belgrano
53452584,USD, 1.600,PUERTO MADERO
53452717,$, 300.000,Recoleta
53452792,$, 600.000,Almagro
53452809,USD, 750,Palermo
53452830,USD, 750,Recoleta
53453126,USD, 850,Palermo
53453192,USD, 700,Villa Urquiza
53453237,USD, 1.600,Núñez
53473977,$, 250.000,Almagro
53473987,USD, 2.500,Belgrano
53474069,$, 400.000,Belgrano
53474096,$, 350.000,Balvanera
53474142,$, 350.000,San Nicolás
53474319,$, 280.000,Villa Pueyrredón
53474407,$, 280.000,Villa Crespo
53474504,$, 350.000,Caballito
53460257,$, 450.000,Palermo
53474718,$, 230.000,San Telmo
53460344,$, 300.000,Villa Urquiza
53460496,$, 250.000,Liniers
53460500,$, 360.000,Villa Urquiza
53475091,$, 800.000,Villa Crespo
53475186,$, 700.000,Villa Crespo
53457244,$, 350.000,Flores
53457251,$, 400.000,Caballito
53457253,$, 250.000,Villa Crespo
53457268,USD, 900,PUERTO MADERO
53457384,USD, 1.000,Palermo
53457490,$, 650.000,Villa Pueyrredón
53457537,$, 240.000,Balvanera
53457610,$, 500.000,Belgrano
53457696,USD, 650,Belgrano
53457715,USD, 3.200,Belgrano
53457751,$, 360.000,Floresta
53457797,USD, 290,Palermo
53457865,USD, 800,PUERTO MADERO
53457885,USD, 500,San Nicolas
53457944,USD, 480,Monserrat
53458034,USD, 800,Palermo
53472359,$, 450.000,Caballito
53458074,USD, 580,Balvanera
53458123,$, 380.000,Villa Santa Rita
53472660,$, 290.000,Floresta
53458296,USD, 1.300,Villa Devoto
53458330,$, 420.000,Belgrano
53472802,$, 350.000,Palermo
53472888,USD, 1.200,Belgrano
53458569,$, 730.000,Palermo
53469855,$, 580.000,Palermo
53473092,$, 270.000,Belgrano
53458707,USD, 1.200,Palermo
53470022,USD, 2.200,Recoleta
53488472,$, 320.000,Saavedra
53488606,USD, 650,Caballito
53488664,$, 300.000,Villa Urquiza
53488666,$, 220.000,Caballito
53488671,$, 700.000,Núñez
53488748,$, 700.000,Belgrano
53488767,$, 750.000,Recoleta
53489031,USD, 800,Villa Crespo
53489107,$, 330.000,San Nicolas
53489208,$, 350.000,Caballito
53489289,$, 250.000,Boedo
53489352,$, 350.000,Villa del Parque
53489365,USD, 550,Balvanera
