ID,CURRENCY,AMOUNT,LOCATION
51423028,USD,2000,Palermo
52953264,USD,700,Palermo
52904918,USD,2600,Puerto Madero
52985431,USD,3000,Belgrano
52954359,USD,5500,Belgrano
49050838,USD,3000,Recoleta
53118762,USD,550,Palermo
53114357,USD,1800,Palermo
52906313,$,300000,San Telmo
53067006,$,2599000,Palermo
53034943,$,500000,Villa Crespo
52155405,USD,11000,Palermo
53096357,$,210000,Almagro
52930305,USD,2500,Recoleta
53090034,USD,900,Puerto Madero
52633609,USD,900,Palermo
52925887,USD,2700,Puerto Madero
53031496,USD,600,Belgrano
52557751,USD,2800,Palermo
53110603,USD,950,Núñez
52952081,USD,1400,Palermo
53067624,USD,2300,Puerto Madero
53021674,USD,600,Belgrano
53113380,$,430000,Belgrano
52687086,$,1050000,Colegiales
53095258,$,500000,Colegiales
52678550,USD,12000,Barrio Norte
52932196,$,450000,Barracas
52988965,USD,850,Palermo
52759951,USD,500,Retiro
52953820,$,250000,Floresta
52773518,USD,3000,Palermo
52949145,$,250000,Villa Luro
53005039,USD,800,Palermo
53074213,USD,2600,Palermo
53029218,$,260000,Caballito
53023637,USD,500,Palermo
52937525,USD,1000,Palermo
52866706,USD,480,Almagro
52957772,$,350000,Palermo
53067205,USD,2100,Retiro
53079387,USD,850,Palermo
52894579,USD,10000,Recoleta
53016278,$,400000,Almagro
53026512,USD,900,Belgrano
52505577,$,550000,Belgrano
52804602,USD,1200,Caballito
52052720,USD,9000,Palermo
53052924,USD,2300,Palermo
53017162,$,450000,Palermo
52947997,$,400000,Núñez
52983617,USD,700,Núñez
53001400,$,1500000,Palermo
52922975,$,650000,Barrio Norte
52963377,USD,1900,Palermo
52618703,USD,1100,Palermo
52410156,USD,2500,Barrio Norte
53058929,USD,500,Barrio Norte
52768611,USD,3000,Puerto Madero
52496810,USD,2200,Palermo
52921822,USD,7500,Retiro
52024252,USD,1400,Puerto Madero
53079151,$,380000,Belgrano
52049104,USD,2500,Palermo
53106913,USD,1800,Belgrano
52898457,USD,4000,Puerto Madero
51036695,USD,6000,Puerto Madero
48122927,USD,3000,Puerto Madero
52948204,USD,700,Palermo
52895062,USD,2100,Belgrano
53073981,USD,1000,Recoleta
52754092,USD,20000,Palermo
52762195,$,340000,Palermo
53036684,$,550000,Belgrano
53089851,USD,1800,Palermo
52959620,USD,2100,Recoleta
52985910,USD,900,Palermo
53062595,USD,1100,Recoleta
53058978,USD,650,Recoleta
52671597,USD,0,Puerto Madero
52919592,USD,450,Caballito
52934340,USD,1700,Palermo
49786329,$,420000,Retiro
44055880,$,250000,Villa del Parque
52703233,$,5000000,Recoleta
50320213,USD,2000,Recoleta
53038632,USD,700,Villa Urquiza
52795369,$,600000,Recoleta
53075708,USD,1300,Puerto Madero
52906036,USD,2000,Palermo
52648032,USD,2500,Belgrano
53110653,USD,1000,Palermo
46809879,$,370000,Barrio Norte
51996100,$,680000,Núñez
52827784,$,330000,Núñez
52909097,USD,1450,Puerto Madero
53037960,$,250000,Centro / Microcentro
52970133,USD,350,Almagro
52922936,USD,650,Palermo
53019847,USD,1300,Palermo
53113970,$,450000,Palermo
52785231,USD,0,Puerto Madero
53012952,$,520000,Núñez
52536296,USD,0,Puerto Madero
46474565,USD,4500,Puerto Madero
52636584,$,5500000,Palermo
52802014,$,1200000,Palermo
52483735,USD,2400,Puerto Madero
47787012,USD,2100,Belgrano
52966943,$,470000,Villa Crespo
53119171,$,300000,Caballito
52898048,$,620000,Belgrano
53074936,USD,5000,Belgrano
52904458,USD,3300,Puerto Madero
53036750,USD,1000,Caballito
52904581,USD,2400,Puerto Madero
52895183,$,0,Flores
53074653,USD,4500,Belgrano
42903713,USD,5000,Recoleta
53087511,USD,4000,Palermo
53095208,$,250000,Caballito
41106143,USD,3800,Puerto Madero
53115407,$,400000,Villa Urquiza
52809946,USD,2000,Palermo
52916982,$,585000,Boedo
52922220,USD,1250,Palermo
45315848,USD,4800,Puerto Madero
53012071,$,650000,Villa Devoto
52984687,$,800000,Palermo
45330159,USD,1500,Recoleta
53107684,USD,300,Balvanera
52716765,USD,9500,Palermo
52964342,USD,4000,Retiro
53052595,USD,400,Villa Crespo
52662923,$,5000000,Belgrano
53073234,$,450000,Belgrano
53094362,USD,650,Barrio Norte
53079784,USD,2200,Palermo
52917812,USD,1800,Palermo
53009917,$,1000000,Belgrano
53086610,$,330000,Palermo
52880455,USD,2720,Puerto Madero
53097073,USD,2500,Recoleta
53019398,USD,900,Recoleta
52982432,USD,5500,Palermo
52914789,USD,2500,Recoleta
53076856,USD,450,Palermo
53061738,$,360000,Parque Chacabuco
53115668,$,950000,Núñez
52985122,$,300000,San Telmo
52684817,$,1800000,Recoleta
53078826,USD,400,Caballito
52793109,USD,1500,Recoleta
52924359,$,430000,Palermo
53105048,$,900000,Congreso
53077087,USD,2500,Puerto Madero
52904699,USD,8000,Puerto Madero
52950629,USD,1250,Palermo
53035840,USD,450,Palermo
52961127,USD,1800,Palermo
52964650,USD,600,Retiro
52853311,$,850000,Palermo
53006093,USD,750,Palermo
53037417,$,390000,San Telmo
53061919,$,440000,Belgrano
52337123,USD,900,Belgrano
53013016,USD,500,Belgrano
52629575,USD,2500,Palermo
53109749,USD,1900,Puerto Madero
53029693,USD,500,Palermo
53057225,$,600000,Palermo
52245766,USD,800,Palermo
53037360,$,650000,Recoleta
53086750,$,290000,Almagro
53104333,USD,500,Palermo
53008844,USD,1700,Palermo
52966789,$,800000,Belgrano
48050140,USD,0,Belgrano
52964205,USD,900,Villa Urquiza
52887156,USD,1800,Palermo
52882921,USD,2000,Puerto Madero
52588773,USD,1200,Recoleta
53028384,USD,500,Barrio Norte
52718463,USD,0,Palermo
52875690,$,250000,Boedo
52771607,$,350000,Recoleta
52973791,USD,750,Retiro
52657916,USD,2500,Recoleta
48542952,$,400000,Almagro
52966206,USD,600,Palermo
52656273,USD,6200,Palermo
53017025,USD,1200,Colegiales
52939273,USD,900,Palermo
53010494,$,250000,Belgrano
52160544,USD,4000,Palermo
53114335,USD,750,Palermo
52647523,USD,900,Recoleta
53079942,USD,1200,Palermo
53089068,USD,2500,Belgrano
53072842,USD,2900,Puerto Madero
52995810,$,350000,Villa del Parque
53065104,USD,1200,Puerto Madero
53056606,USD,600,Barrio Norte
53055107,USD,1500,Palermo
52947825,USD,1200,Recoleta
52968606,USD,1200,Retiro
53076897,USD,500,Coghlan
52879217,USD,3500,Retiro
52306925,USD,15000,Belgrano
53087053,USD,0,Palermo
53034136,$,290000,Villa Pueyrredón
52660799,USD,3500,Palermo
53022666,USD,350,Belgrano
52896615,USD,1800,Palermo
53090117,USD,1000,Caballito
52725162,USD,900,Retiro
53107292,USD,1600,Belgrano
52737124,$,5500000,Belgrano
53066214,USD,2450,Belgrano
53022988,USD,1400,Palermo
52202492,USD,600,Villa Crespo
52909336,USD,1000,Palermo
52924145,USD,700,Palermo
53108636,$,400000,Caballito
53052875,$,290000,Palermo
52843363,USD,4500,Puerto Madero
52903967,USD,5000,Puerto Madero
52890736,USD,7000,Palermo
53091725,USD,800,Recoleta
52106724,USD,2800,Retiro
50071693,USD,4500,Belgrano
52636567,$,3600000,Palermo
53031329,USD,3000,Puerto Madero
52934026,$,840000,Palermo
53093287,USD,800,Palermo
53112803,USD,750,Belgrano
53091425,USD,450,Palermo
52413309,USD,1300,Palermo
53110571,USD,650,Palermo
52970657,USD,2500,Palermo
52877376,USD,6000,Puerto Madero
53073818,$,5000000,Puerto Madero
52884907,$,600000,Belgrano
53075720,$,750000,Núñez
53092836,USD,600,Palermo
52906258,USD,550,Palermo
52987402,USD,300,Villa Urquiza
53092012,$,550000,Belgrano
52636581,$,2200000,Palermo
53101098,$,600000,Caballito
53080072,USD,800,Recoleta
53097037,$,830000,Belgrano
53081774,$,600000,Recoleta
53056729,USD,1300,Puerto Madero
53054622,$,1700000,Villa Urquiza
52967134,USD,800,Belgrano
52710952,USD,1500,Recoleta
52977538,USD,1000,Palermo
53114339,USD,3000,Palermo
52779462,USD,650,Belgrano
53075184,USD,8000,Palermo
53063378,USD,1800,Puerto Madero
52982407,$,499000,Villa del Parque
53112649,$,380000,Caballito
52994696,USD,1700,Barrio Norte
53108912,USD,2000,Palermo
53059550,$,450000,Recoleta
52962298,$,450000,Balvanera
52954362,USD,5499,Belgrano
52891327,USD,1000,Palermo
53114963,$,400000,Caballito
53089163,USD,750,Recoleta
53087700,USD,350,Palermo
53113198,USD,1800,Palermo
52975332,$,450000,Retiro
52859291,USD,1600,Puerto Madero
53055682,USD,1200,Recoleta
53022444,USD,900,Retiro
53065676,$,350000,Villa Devoto
